rank,ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,1y_return,score_short
1,MKTX,186.1100,0.296598,0.136584,0.080960,0.022575,0.072749,0.096766,0.125027,18187.26,-0.083094,0.418063
2,TTC,99.4700,0.181189,0.102224,0.084394,0.063202,0.040742,0.052235,0.064017,10185.42,0.166154,0.415899
3,IONS,74.0400,0.337477,0.118003,0.070776,0.041788,0.084009,0.112437,0.146559,21002.27,0.657488,0.413273
4,ALLE,150.3700,0.359324,0.121122,0.090250,0.062061,0.089909,0.120586,0.157644,22477.19,0.165707,0.411431
5,WEAT,23.6100,0.275043,0.026299,0.124914,0.103350,0.066743,0.088374,0.113442,16685.64,-0.063095,0.405550
6,INDA,49.9900,0.168382,0.080006,0.064561,-0.005307,0.037224,0.047382,0.057470,9306.01,-0.037069,0.400672
7,DBA,26.7100,0.063112,0.040854,0.093852,0.048884,0.009293,0.009903,0.009225,2323.13,0.283055,0.400486
8,HLI,151.1100,0.316851,0.084349,0.032215,0.034524,0.078368,0.104607,0.135839,19591.95,0.252090,0.398561
9,SF,73.1500,0.365604,0.091124,0.075253,0.063522,0.091592,0.122905,0.160785,22898.04,0.507213,0.396791
10,ONON,41.4600,0.368890,0.058357,0.119453,0.060874,0.092471,0.124114,0.162421,23117.70,0.294816,0.392332
